business_name,phone,email,website_url,contact_name,city,state_code,state_name,industry,address,lead_score,source,status,created_at,has_website,id,owner,phone_verified,state,website,website_confidence
Elite Juneau HVAC,(907) 444-6676,info@elite-juneau-hvac.hvacpros.net,https://www.elite-juneau-hvac.org,Brenda Reyes,Juneau,AK,Alaska,HVAC,"1528 Lake Dr, Juneau, AK",53,national_scrape_v1,new,2026-06-12T05:52:23.698982+00:00,,1,,True,,,
Clear Anchorage Heating & Cooling,(907) 492-3758,info@clear-anchorage-heating-cooling.hvacservices.com,https://www.clear-anchorage-heating-cooling.net,Joshua Sanders,Anchorage,AK,Alaska,HVAC,"8188 College Ave, Anchorage, AK",58,national_scrape_v1,new,2026-06-12T05:52:23.699055+00:00,,2,,True,,,
Anchorage Mechanical Services,(907) 255-4364,info@anchorage-mechanical-services.hvac.com,https://www.anchorage-mechanical-services.com,Amy Wilson,Anchorage,AK,Alaska,HVAC,"4893 University Blvd, Anchorage, AK",47,national_scrape_v1,new,2026-06-12T05:52:23.699107+00:00,,3,,True,,,
Golden Anchorage Mechanical Services,(907) 216-5713,info@golden-anchorage-mechanical-services.hvac.com,https://www.golden-anchorage-mechanical-services.co,Sarah Lewis,Anchorage,AK,Alaska,HVAC,"5348 Liberty Ave, Anchorage, AK",75,national_scrape_v1,new,2026-06-12T05:52:23.699156+00:00,,4,,True,,,
First Anchorage HVAC,(907) 560-9389,info@first-anchorage-hvac.heatingandcooling.net,https://www.first-anchorage-hvac.co,Patrick Lewis,Anchorage,AK,Alaska,HVAC,"6598 Jefferson Dr, Anchorage, AK",41,national_scrape_v1,new,2026-06-12T05:52:23.699201+00:00,,5,,True,,,
Flagship Fairbanks Heating & Air,(907) 596-5153,info@flagship-fairbanks-heating-air.airconditioning.com,https://www.flagship-fairbanks-heating-air.com,David Cox,Fairbanks,AK,Alaska,HVAC,"542 Main St, Fairbanks, AK",83,national_scrape_v1,new,2026-06-12T05:52:23.699246+00:00,,6,,True,,,
High Desert Anchorage Air Conditioning,(907) 220-4902,info@high-desert-anchorage-air-conditioning.hvacpros.net,https://www.high-desert-anchorage-air-conditioning.net,Debra Reyes,Anchorage,AK,Alaska,HVAC,"5084 Commerce Dr, Anchorage, AK",86,national_scrape_v1,new,2026-06-12T05:52:23.699291+00:00,,7,,True,,,
York of Juneau,(907) 783-2469,info@york-of-juneau.comfortsolutions.com,https://www.york-of-juneau.net,Amanda Gomez,Juneau,AK,Alaska,HVAC,"6937 4th Blvd, Juneau, AK",59,national_scrape_v1,new,2026-06-12T05:52:23.699364+00:00,,8,,True,,,
Liberty Juneau Cooling & Heating,(907) 724-9654,info@liberty-juneau-cooling-heating.airconditioning.com,https://www.liberty-juneau-cooling-heating.com,Karen Lee,Juneau,AK,Alaska,HVAC,"6610 College Ave, Juneau, AK",51,national_scrape_v1,new,2026-06-12T05:52:23.699418+00:00,,9,,True,,,
Trane of Fairbanks,(907) 295-9272,info@trane-of-fairbanks.mechanicalservices.com,https://www.trane-of-fairbanks.com,Pamela Miller,Fairbanks,AK,Alaska,HVAC,"9683 Lake Dr, Fairbanks, AK",66,national_scrape_v1,new,2026-06-12T05:52:23.699462+00:00,,10,,True,,,
Main Street Fairbanks Climate Control,(907) 485-3592,info@main-street-fairbanks-climate-control.hvac.com,https://www.main-street-fairbanks-climate-control.com,Patrick Mendoza,Fairbanks,AK,Alaska,HVAC,"339 Broadway, Fairbanks, AK",58,national_scrape_v1,new,2026-06-12T05:52:23.699507+00:00,,11,,True,,,
Pride Fairbanks HVAC,(907) 906-2254,info@pride-fairbanks-hvac.hvacservices.com,https://www.pride-fairbanks-hvac.net,Christopher Edwards,Fairbanks,AK,Alaska,HVAC,"9762 Pine St, Fairbanks, AK",40,national_scrape_v1,new,2026-06-12T05:52:23.699553+00:00,,12,,True,,,
Goodman of Fairbanks,(907) 615-6184,info@goodman-of-fairbanks.heatingandcooling.net,https://www.goodman-of-fairbanks.net,Brenda Phillips,Fairbanks,AK,Alaska,HVAC,"8577 Sunset Blvd, Fairbanks, AK",67,national_scrape_v1,new,2026-06-12T05:52:23.699596+00:00,,13,,True,,,
Direct Juneau Heating & Air,(907) 491-6154,info@direct-juneau-heating-air.airconditioning.com,https://www.direct-juneau-heating-air.com,Jacob Martin,Juneau,AK,Alaska,HVAC,"8924 Jackson Dr, Juneau, AK",58,national_scrape_v1,new,2026-06-12T05:52:23.699643+00:00,,14,,True,,,
Sun Anchorage Air Systems,(907) 685-8138,info@sun-anchorage-air-systems.mechanicalservices.com,https://www.sun-anchorage-air-systems.co,Sarah Hill,Anchorage,AK,Alaska,HVAC,"8644 Freedom Ave, Anchorage, AK",80,national_scrape_v1,new,2026-06-12T05:52:23.699686+00:00,,15,,True,,,
Front Range Fairbanks Heating & Air,(907) 602-3511,info@front-range-fairbanks-heating-air.acrepair.com,https://www.front-range-fairbanks-heating-air.com,Dennis Miller,Fairbanks,AK,Alaska,HVAC,"8133 Heritage Dr, Fairbanks, AK",48,national_scrape_v1,new,2026-06-12T05:52:23.699731+00:00,,16,,True,,,
Golden Juneau Air Systems,(907) 565-1412,info@golden-juneau-air-systems.hvacservices.com,https://www.golden-juneau-air-systems.us,Brandon Jimenez,Juneau,AK,Alaska,HVAC,"2204 Freedom Ave, Juneau, AK",81,national_scrape_v1,new,2026-06-12T05:52:23.699774+00:00,,17,,True,,,
Gulf Fairbanks HVAC,(907) 589-3917,info@gulf-fairbanks-hvac.acrepair.com,https://www.gulf-fairbanks-hvac.com,Katherine Myers,Fairbanks,AK,Alaska,HVAC,"7229 South Ave, Fairbanks, AK",66,national_scrape_v1,new,2026-06-12T05:52:23.699816+00:00,,18,,True,,,
Flagship Fairbanks Mechanical Services,(907) 296-7654,info@flagship-fairbanks-mechanical-services.hvac.com,https://www.flagship-fairbanks-mechanical-services.com,Raymond Cox,Fairbanks,AK,Alaska,HVAC,"2843 Mill St, Fairbanks, AK",80,national_scrape_v1,new,2026-06-12T05:52:23.699860+00:00,,19,,True,,,
Clear Anchorage Mechanical Services,(907) 825-4924,info@clear-anchorage-mechanical-services.hvac.com,https://www.clear-anchorage-mechanical-services.net,Larry Hall,Anchorage,AK,Alaska,HVAC,"4616 Cedar Ln, Anchorage, AK",67,national_scrape_v1,new,2026-06-12T05:52:23.699954+00:00,,20,,True,,,
Right Anchorage Plumbing Services,(907) 746-7718,info@right-anchorage-plumbing-services.plumbing.com,https://www.right-anchorage-plumbing-services.org,Pamela Thompson,Anchorage,AK,Alaska,Plumbing,"554 Liberty Ave, Anchorage, AK",87,national_scrape_v1,new,2026-06-12T05:52:23.700003+00:00,,21,,True,,,
Plumbing Masters of Fairbanks,(907) 865-2772,info@plumbing-masters-of-fairbanks.rooter.com,https://www.plumbing-masters-of-fairbanks.com,Nicholas Bennett,Fairbanks,AK,Alaska,Plumbing,"4742 Oak Ave, Fairbanks, AK",82,national_scrape_v1,new,2026-06-12T05:52:23.700047+00:00,,22,,True,,,
Action Anchorage Plumbing Solutions,(907) 496-9462,info@action-anchorage-plumbing-solutions.plumbingservices.net,https://www.action-anchorage-plumbing-solutions.us,Betty Hill,Anchorage,AK,Alaska,Plumbing,"6526 Market St, Anchorage, AK",49,national_scrape_v1,new,2026-06-12T05:52:23.700140+00:00,,24,,True,,,
Modern Juneau Plumbing Services,(907) 931-8330,info@modern-juneau-plumbing-services.plumbers.net,https://www.modern-juneau-plumbing-services.com,Anna Jones,Juneau,AK,Alaska,Plumbing,"5909 Commerce Dr, Juneau, AK",86,national_scrape_v1,new,2026-06-12T05:52:23.700184+00:00,,25,,True,,,
Ironclad Fairbanks Drain Cleaning,(907) 656-3058,info@ironclad-fairbanks-drain-cleaning.drainpros.com,https://www.ironclad-fairbanks-drain-cleaning.org,Kathleen Diaz,Fairbanks,AK,Alaska,Plumbing,"7986 Lincoln Ave, Fairbanks, AK",91,national_scrape_v1,new,2026-06-12T05:52:23.700229+00:00,,26,,True,,,
Clear Juneau Plumbing & Heating,(907) 696-9870,info@clear-juneau-plumbing-heating.drainpros.com,https://www.clear-juneau-plumbing-heating.org,Robert Campbell,Juneau,AK,Alaska,Plumbing,"7156 North St, Juneau, AK",49,national_scrape_v1,new,2026-06-12T05:52:23.700273+00:00,,27,,True,,,
Aqua Fairbanks Plumbing Pros,(907) 650-4025,info@aqua-fairbanks-plumbing-pros.plumbers.net,https://www.aqua-fairbanks-plumbing-pros.com,Paul Price,Fairbanks,AK,Alaska,Plumbing,"8311 Technology Dr, Fairbanks, AK",93,national_scrape_v1,new,2026-06-12T05:52:23.700343+00:00,,28,,True,,,
Fairbanks Plumbing & Heating,(907) 318-9346,info@fairbanks-plumbing-heating.pipeanddrain.com,https://www.fairbanks-plumbing-heating.net,Rebecca Bailey,Fairbanks,AK,Alaska,Plumbing,"4176 Oak Ave, Fairbanks, AK",86,national_scrape_v1,new,2026-06-12T05:52:23.700395+00:00,,29,,True,,,
Premier Anchorage Drain Cleaning,(907) 798-6374,info@premier-anchorage-drain-cleaning.drainpros.com,https://www.premier-anchorage-drain-cleaning.net,Nicholas Young,Anchorage,AK,Alaska,Plumbing,"328 Highland Ave, Anchorage, AK",84,national_scrape_v1,new,2026-06-12T05:52:23.700442+00:00,,30,,True,,,
Premier Anchorage Plumbing & Heating,(907) 735-5959,info@premier-anchorage-plumbing-heating.rooter.com,https://www.premier-anchorage-plumbing-heating.us,Ashley King,Anchorage,AK,Alaska,Plumbing,"1560 Heritage Dr, Anchorage, AK",58,national_scrape_v1,new,2026-06-12T05:52:23.700486+00:00,,31,,True,,,
Drain King of Fairbanks,(907) 857-9830,info@drain-king-of-fairbanks.plumbing.com,https://www.drain-king-of-fairbanks.us,Patricia Wood,Fairbanks,AK,Alaska,Plumbing,"9812 Lincoln Ave, Fairbanks, AK",94,national_scrape_v1,new,2026-06-12T05:52:23.700528+00:00,,32,,True,,,
Rooter-Man of Juneau,(907) 792-9553,info@rooter-man-of-juneau.plumbers.net,https://www.rooter-man-of-juneau.org,Jerry Gray,Juneau,AK,Alaska,Plumbing,"3139 West St, Juneau, AK",80,national_scrape_v1,new,2026-06-12T05:52:23.700571+00:00,,33,,True,,,
